时间,地点,对阵/赛果,性质,主教练
2000.01.14,广州,中国1-0新西兰,友谊赛,霍顿
1997.11.12,,中国1-0科威特,世界杯预选赛亚洲区,戚务生
1997.11.06,,沙特阿拉伯1-1中国,世界杯预选赛亚洲区,戚务生
1997.10.31,,中国2-3卡塔尔,世界杯预选赛亚洲区,戚务生
1997.10.17,,伊朗4-1中国,世界杯预选赛亚洲区,戚务生
1997.10.10,,科威特1-2中国,世界杯预选赛亚洲区,戚务生
1997.10.03,,中国1-0沙特阿拉伯,世界杯预选赛亚洲区,戚务生
1997.09.26,,卡塔尔1-1中国,世界杯预选赛亚洲区,戚务生
1997.09.13,,中国2-4伊朗,世界杯预选赛亚洲区,戚务生
1997.08.30,,韩国0-0中国,友谊赛,戚务生
1997.06.22,,中国4-0越南,世界杯预选赛亚洲区,戚务生
1997.06.08,,中国0-0塔吉克斯坦,世界杯预选赛亚洲区,戚务生
1997.06.01,,中国1-0土库曼斯坦,世界杯预选赛亚洲区,戚务生
1997.05.25,,越南1-3中国,世界杯预选赛亚洲区,戚务生
1997.05.11,,塔吉克斯坦0-1中国,世界杯预选赛亚洲区,戚务生
1997.05.04,,土库曼斯坦1-4中国,世界杯预选赛亚洲区,戚务生
1997.04.27,,中国0-0伊朗,友谊赛,戚务生
1997.04.23,,中国0-2韩国,友谊赛,戚务生
1997.04.20,,中国5-0缅甸,友谊赛,戚务生
1997.03.02,,中国3-0波黑,友谊赛,戚务生
1997.02.28,,中国3-1津巴布韦,友谊赛,戚务生
1997.02.25,,马来西亚0-2中国,友谊赛,戚务生
1997.02.23,,中国2-1芬兰,友谊赛,戚务生
1997.02.21,,中国3-1新加坡,友谊赛,戚务生
1997.02.01,,中国1-1美国,友谊赛,戚务生
1997.01.29,,中国2-1美国,友谊赛,戚务生
1996.12.16,,沙特阿拉伯4-3中国,亚洲杯,戚务生
1996.12.12,,日本1-0中国,亚洲杯,戚务生
1996.12.09,,中国3-0叙利亚,亚洲杯,戚务生
1996.12.06,,乌兹别克2-0中国,亚洲杯,戚务生
1996.11.26,,中国2-3韩国,友谊赛,戚务生
1996.09.25,,韩国3-1中国,友谊赛,戚务生
1996.08.08,,中国0-2巴拉圭,友谊赛,戚务生
1996.07.17,,中国1-1乌拉圭,友谊赛,戚务生
1996.06.28,,中国2-0新西兰,友谊赛,戚务生
1996.05.29,,荷兰2-0中国,友谊赛,戚务生
1996.05.23,,中国0-3英格兰,友谊赛,戚务生
1996.02.04,,中国香港0-2中国,亚洲杯预选赛,戚务生
1996.02.01,,中国7-0菲律宾,亚洲杯预选赛,戚务生
1996.01.30,,中国7-1中国澳门,亚洲杯预选赛,戚务生
1995.10.26,,中国2-1哥伦比亚,友谊赛,戚务生
